Id2,commuting,median_income,Total population,62andover,white,black,native_am,Asian,pacific_islander,latinx
48453002403,1661,64773,2764,306,2480,113,0,12,0,1087
48453002407,3283,83824,5781,1025,4861,205,146,187,0,2225
48453002409,2045,63099,3530,436,3263,61,9,6,0,1651
48453002410,2347,49263,4253,602,3677,119,9,139,0,2267
48453002411,2927,37813,6828,471,5095,450,108,11,0,5779
48453002412,2974,57946,6083,581,4252,318,33,44,0,5177
48453002413,2162,40130,4955,229,2852,455,0,0,0,3889
48453002419,2897,38225,4773,155,2981,749,199,125,0,3252
48453002421,6121,64689,10292,949,8325,732,0,497,0,4022
48453002422,3645,56078,5998,844,5088,400,0,14,0,3157
48453002423,3786,64948,5705,687,4863,443,22,75,0,2047
48453002424,2054,49643,3945,525,3575,224,0,21,0,1761
48453002425,2111,72256,3449,275,2649,98,8,284,0,1843
48453002426,5590,78952,11174,815,8446,923,45,118,0,7108
48453002427,4416,46233,8517,682,7223,419,215,16,0,7018
48453002428,3780,77942,7337,1473,6476,345,0,89,15,3760
48453002429,779,55317,1589,29,1263,224,0,14,0,892
48453002430,1506,48090,3203,225,2757,149,10,0,0,2570
48453002431,4170,60337,8803,591,6590,594,0,151,0,5808
48453002432,1249,45333,2669,339,1784,189,104,29,0,1869
48453002433,3386,54542,8706,585,4600,1431,0,114,0,5719
48453002434,781,51985,1724,157,1279,109,18,0,0,1071
48453002435,4726,59835,8462,591,4377,694,254,329,0,6402
48453002436,1240,45750,2851,428,1897,110,0,6,0,2385
48453002500,3228,82022,5518,984,4529,244,0,382,0,719
